F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
204000,844800000,1,80,4.415790868144485,0.34,254.0
204000,844800000,1,90,4.222794645496389,0.37,254.0
204000,844800000,1,100,4.066859164667128,0.39,254.0
204000,921600000,1,0,7.463243525636241,0.0,127.0
204000,921600000,1,10,6.519329812895235,0.06,169.0
204000,921600000,1,20,6.073120369245719,0.12,169.0
204000,921600000,1,30,5.672793283412752,0.17,212.0
204000,921600000,1,40,5.326515393629487,0.22,212.0
204000,921600000,1,50,5.047700772298218,0.26,254.0
204000,921600000,1,60,4.793174519484254,0.29,254.0
204000,921600000,1,70,4.624277456647399,0.31,254.0
204000,921600000,1,80,4.367956669869835,0.35,254.0
204000,921600000,1,90,4.194982800570518,0.38,286.25
204000,921600000,1,100,4.07797080172906,0.39,297.0
307200,76800000,1,0,11.08770373655616,0.0,18.67
307200,76800000,1,10,7.3991860895301516,0.28,42.0
307200,76800000,1,20,5.74184657785944,0.44,70.67
307200,76800000,1,30,4.595377050687008,0.54,85.0
307200,76800000,1,40,3.89848348992242,0.61,85.0
307200,76800000,1,50,3.381005511038983,0.66,85.0
307200,76800000,1,60,3.0021014710297207,0.7,85.0
307200,76800000,1,70,2.683987331579795,0.73,85.0
307200,76800000,1,80,2.4267721503628024,0.76,85.0
307200,76800000,1,90,2.2183278244859026,0.78,85.0
307200,76800000,1,100,2.062323413557714,0.79,85.0
307200,153600000,1,0,11.015642211940955,0.0,42.0
307200,153600000,1,10,8.526603001364256,0.18,42.0
307200,153600000,1,20,7.18081286801666,0.3,85.0
307200,153600000,1,30,6.067224851352991,0.4,85.0
307200,153600000,1,40,5.373166406963623,0.47,85.0
307200,153600000,1,50,4.785604900459418,0.53,110.2
307200,153600000,1,60,4.331629559040111,0.57,106.25
307200,153600000,1,70,3.9359231707797067,0.61,127.25
307200,153600000,1,80,3.637818763869184,0.64,127.25
307200,153600000,1,90,3.3475044354433767,0.67,127.25
307200,153600000,1,100,3.1484163465776716,0.69,127.33
307200,230400000,1,0,11.021712774165104,0.0,42.0
307200,230400000,1,10,8.999280057595392,0.13,58.12
307200,230400000,1,20,7.920792079207921,0.23,85.0
307200,230400000,1,30,6.996921354603975,0.31,127.0
307200,230400000,1,40,6.355258976803305,0.37,127.0
307200,230400000,1,50,5.794749956539375,0.43,127.0
307200,230400000,1,60,5.33731853116994,0.47,127.0
307200,230400000,1,70,4.944864757948871,0.51,127.0
307200,230400000,1,80,4.655926995064718,0.54,127.0
307200,230400000,1,90,4.302000430200043,0.57,170.0
307200,230400000,1,100,4.110658938627862,0.59,170.0
307200,307200000,1,0,11.057054400707651,0.0,42.0
307200,307200000,1,10,9.255831173639391,0.11,85.0
307200,307200000,1,20,8.278831029058697,0.19,85.0
307200,307200000,1,30,7.44047619047619,0.27,127.0
307200,307200000,1,40,6.858240175570948,0.32,127.0
307200,307200000,1,50,6.308352258390108,0.38,127.0
307200,307200000,1,60,5.876131155247385,0.42,170.0
307200,307200000,1,70,5.48185505975222,0.46,170.0
307200,307200000,1,80,5.139538469445444,0.49,170.0
307200,307200000,1,90,4.793174519484254,0.52,170.0
307200,307200000,1,100,4.588629376405268,0.54,170.0
307200,384000000,1,0,11.084016847705609,0.0,42.0
307200,384000000,1,10,9.390553103577801,0.09,85.0
307200,384000000,1,20,8.504847763225039,0.17,85.0
307200,384000000,1,30,7.730364873222015,0.24,127.0
307200,384000000,1,40,7.160759040458288,0.29,127.0
307200,384000000,1,50,6.628222973420826,0.34,170.0
307200,384000000,1,60,6.255864873318736,0.38,170.0
307200,384000000,1,70,5.811250581125058,0.42,170.0
307200,384000000,1,80,5.480953685941354,0.46,178.6
307200,384000000,1,90,5.198856251624643,0.48,195.8
307200,384000000,1,100,4.932182490752158,0.51,187.2
307200,460800000,1,0,11.041183614883517,0.0,42.0
307200,460800000,1,10,9.4553706505295,0.09,85.0
307200,460800000,1,20,8.631851532153647,0.16,90.25
307200,460800000,1,30,7.891414141414142,0.22,127.0
307200,460800000,1,40,7.339449541284404,0.27,157.71
307200,460800000,1,50,6.884681583476764,0.32,170.0
307200,460800000,1,60,6.461200491051237,0.36,170.0
307200,460800000,1,70,6.0938452163315056,0.39,191.5
307200,460800000,1,80,5.778342771293193,0.42,213.0
307200,460800000,1,90,5.394907207596029,0.46,204.4
307200,460800000,1,100,5.181615627752733,0.48,213.0
307200,537600000,1,0,11.176930814798256,0.0,46.2
307200,537600000,1,10,9.671179883945841,0.08,84.0
307200,537600000,1,20,8.911861687906605,0.14,127.0
307200,537600000,1,30,8.167932696234583,0.2,153.25
307200,537600000,1,40,7.634170547370028,0.25,163.0
307200,537600000,1,50,7.200460829493088,0.3,199.71
307200,537600000,1,60,6.74809366354005,0.34,212.0
307200,537600000,1,70,6.335931065070011,0.38,212.0
307200,537600000,1,80,6.009254251547383,0.41,219.0
307200,537600000,1,90,5.709065996802924,0.44,247.0
