F_CPU,F_GPU,N_THREADS,PRECISION,THROUGHPUT,KERNEL_FRACTION,GPU_W
102000,230400000,2,20,0.18548608483391577,0.97,37.0
102000,230400000,2,30,0.12085103297420435,0.98,37.0
102000,230400000,2,40,0.09182736455463728,0.99,37.0
102000,230400000,2,50,0.0738765227798258,0.99,37.0
102000,230400000,2,60,0.06208750613114123,0.99,37.0
102000,230400000,2,70,0.053384582532564596,0.99,37.0
102000,230400000,2,80,0.04683731060162526,0.99,37.0
102000,230400000,2,90,0.04177667858694562,0.99,37.0
102000,230400000,2,100,0.03808682272107496,0.99,37.0
102000,230400000,3,0,7.893905904641616,0.0,37.0
102000,230400000,3,10,0.5311464264468428,0.93,37.0
